K,Cluster_ID,mu_ub,mu_lb,K_param,m_param
13,4,0.072561579,0.016894473099091253,16.257340159430253,14.026441220595236
13,5,0.19869984865008053,0.027106432042441706,6.894266429858764,100
13,6,0.1444719592827886,0.060826898,9.195020928256818,100
13,7,0.072567831,0.072567828,14.249169553345428,0.8209674189944658
13,8,0.087072896,0.07476964,6.7086783062033275,100
13,9,0.14855175385458463,1e-06,12.321115022902125,4.490895472
13,10,0.14332414302889257,1e-06,18.43635445686867,3.899184038
13,11,0.082280982,0.046795545855191474,7.503224243693458,100
13,12,0.12635511125438081,0.067774153,9.190365970864391,100
14,0,0.10476489206558567,0.048823521,8.428835763940445,100
14,1,0.11388305877598676,0.061958754,9.452594159890722,46.01965201181639
14,2,0.13284250302201525,1.0000000000039018e-06,15.516035262080313,3.1952731959542158
14,3,0.11970462848232821,0.081958825,8.596844734925293,100
14,4,0.072561579,0.016894473099091253,16.257340159430253,14.026441220595236
14,5,0.19869984865008053,0.027106432042441706,6.894266429858764,100
14,6,0.1310297203603727,0.024556232821797697,14.92235432213701,11.068915278245345
14,7,0.072567831,0.072567828,14.249169553345428,0.8209674189944658
14,8,0.087072896,0.07476964,6.7086783062033275,100
14,9,0.14855175385458463,1e-06,12.321115022902125,4.490895472
14,10,0.13473986817275632,0.037680975,15.970805279315304,2.9290471591426606
14,11,0.082280982,0.046795545855191474,7.503224243693458,100
14,12,0.1444719592827886,0.060826898,9.195020928256818,100
14,13,0.12635511125438081,0.067774153,9.190365970864391,100
